px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
8.46292	0.243462	0	0	0	8.46292	0.243462	8.6	0.25	-3.00029	0	7.90505e-323
8.46787	0.24195	0.00303917	-0.00278669	-0.00232242	8.56759	0.241943	8.44818	0.251553	1.47701e+15	8.45	7.90505e-323
8.39628	0.226287	-0.107115	-0.0154127	-0.0145985	8.42544	0.254042	8.45	0.25	0	0	7.90505e-323
8.21556	0.197596	-0.339216	-0.038605	-0.0343287	7.93286	0.188391	8.45582	0.253997	1.47701e+15	8.45	7.90505e-323
8.0326	0.182607	-0.525701	-0.0485368	-0.0404065	7.61269	0.155818	8.35	0.25	-1.81979	0	7.90505e-323
7.8923	0.175886	-0.622698	-0.0537435	-0.0405308	7.50815	0.0953827	8.23962	0.24916	1.47701e+15	8.25	7.90505e-323
7.69274	0.165098	-0.771018	-0.0569585	-0.0372793	7.20598	0.00492725	8.05	0.2	-3.99976	-0.99994	7.90505e-323
7.5119	0.152364	-0.858864	-0.0510283	-0.0265024	6.74585	-0.143185	7.84073	0.159858	1.47701e+15	7.85	7.90505e-323
7.31978	0.128516	-0.954826	-0.0249596	-0.000516707	6.66966	-0.346668	7.7	0.15	-2.99982	0	7.90505e-323
7.18664	0.0884888	-0.970996	0.0445013	0.050634	6.60862	-0.557035	7.54016	0.159641	1.47701e+15	7.55	7.90505e-323
7.06021	0.00146177	-0.959649	0.233208	0.166369	6.40696	-0.842921	7.45	0.100001	-1.8165	-0.908239	7.90505e-323
6.90186	-0.145876	-0.997236	0.493929	0.309672	6.38626	-1.15695	7.3426	0.0345312	1.47701e+15	7.35	7.90505e-323
6.88333	-0.533922	-0.904268	1.36891	0.753227	6.43125	-1.48148	7.2	9.49949e-07	-2.72851	-0.909507	7.90505e-323
6.8265	-0.742047	-0.953154	1.62139	0.844577	6.3228	-1.81431	7.05406	-0.0533413	1.47701e+15	7.05	7.90505e-323
6.84973	-1.04858	-1.03117	2.18904	1.08215	6.31851	-2.10969	6.95	-0.15	-1.81898	-1.81898	7.90505e-323
6.86965	-1.21896	-1.09869	2.37987	1.11943	6.32593	-2.40018	6.84972	-0.258748	1.47701e+15	6.85	7.90505e-323
6.91519	-1.39761	-1.21555	2.59123	1.16141	6.43125	-2.71878	6.75	-0.349999	-2.00076	-2.00075	7.90505e-323
6.94548	-1.54667	-1.30707	2.63202	1.12454	6.46536	-3.00452	6.64329	-0.462604	1.47701e+15	6.65	7.90505e-323
6.96319	-1.73558	-1.44613	2.58971	1.05467	6.52249	-3.32007	6.6	-0.549999	-0.998836	-1.99769	7.90505e-323
6.98374	-1.98541	-1.60889	2.47888	0.959222	6.6358	-3.59197	6.56029	-0.650892	1.47701e+15	6.55	7.90505e-323
6.98904	-2.29674	-1.73684	2.29976	0.840813	6.83625	-3.92723	6.5	-0.85	-0.908747	-3.63498	7.90505e-323
6.98602	-2.65547	-1.86338	2.13929	0.740907	6.86943	-4.18507	6.45805	-1.05268	1.47701e+15	6.45	7.90505e-323
6.95428	-3.04631	-1.96042	1.97517	0.642976	7.05156	-4.49706	6.35	-1.15	-1.81897	-1.81898	7.90505e-323
6.99283	-3.39131	-2.07148	1.95588	0.619075	7.10252	-4.67934	6.25499	-1.25007	1.47701e+15	6.25	7.90505e-323
7.12349	-3.71405	-2.21338	2.03639	0.649275	7.3138	-5.05204	6.3	-1.45	0.909739	-3.63894	7.90505e-323
7.18694	-4.07686	-2.31575	2.03289	0.629775	7.29446	-5.23429	6.36328	-1.65656	1.47701e+15	6.35	7.90505e-323
7.29427	-4.43247	-2.41645	2.05914	0.62173	7.63082	-5.61863	6.3	-1.8	-0.999494	-2.9985	7.90505e-323
7.39025	-4.78285	-2.49051	2.07565	0.603941	7.60376	-5.74774	6.24641	-1.95075	1.47701e+15	6.25	7.90505e-323
7.57699	-5.11853	-2.61534	2.15204	0.631646	7.82165	-6.06822	6.3	-2.1	0.999984	-2.99994	7.90505e-323
7.73084	-5.4467	-2.67863	2.18541	0.615207	8.17338	-6.44684	6.34644	-2.23829	1.47701e+15	6.35	7.90505e-323
7.87911	-5.77124	-2.71912	2.21382	0.593442	8.08628	-6.51855	6.35	-2.4	0	-2.72613	7.90505e-323
