px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS_laser	NIS_radar
0	0	0	0	0	0	0	0	0	0	0	0	N/A
0.0123737	-0.0123737	0	0	0	0	0	0	0	0	0	N/A	0.620541
1.5525	-0.132663	1.33118	-3.30734e-17	4.82854e-18	1.55945	-0.138501	2.09897	0.0522228	2.19595	0.109339	1.79315	N/A
1.58789	0.0204825	1.73875	-0.00101709	0.000459073	1.81209	0.0474826	2.09897	0.0522228	2.19595	0.109339	N/A	6.43541
3.87721	-0.131202	2.97361	-0.277965	0.0194815	3.89093	-0.134166	4.29136	0.215312	2.28434	0.226323	2.82351	N/A
3.89409	0.0535432	2.46213	0.0370832	-0.284597	4.19528	0.218461	4.29136	0.215312	2.28434	0.226323	N/A	12.537
6.83961	0.413235	3.30302	0.69457	0.506958	6.86352	0.416817	6.56942	0.496096	2.36382	0.348847	4.15852	N/A
6.81123	0.444698	3.1457	0.732338	0.545414	6.43926	0.472879	6.56942	0.496096	2.36382	0.348847	N/A	2.08738
9.07708	0.636145	1.00958	0.459938	0.0493116	9.07733	0.593211	8.92437	0.89924	2.43359	0.474526	16.4197	N/A
9.11042	0.73194	2.51374	0.444142	0.0599382	8.89749	0.886982	8.92437	0.89924	2.43359	0.474526	N/A	16.0346
11.5643	1.67881	2.66786	0.354277	-0.0398593	11.5756	1.6669	11.3468	1.427	2.49328	0.600781	0.817602	N/A
11.5556	1.64707	2.56783	0.342501	-0.0467541	11.4447	1.42958	11.3468	1.427	2.49328	0.600781	N/A	1.40168
13.6055	2.31606	2.02189	0.288589	-0.0509683	13.5921	2.31191	13.827	2.07905	2.5429	0.724947	0.883448	N/A
13.632	2.29114	2.49731	0.270099	-0.0657126	13.6572	1.99915	13.827	2.07905	2.5429	0.724947	N/A	3.06455
16.6238	2.90405	3.30804	0.149597	-0.10159	16.6456	2.903	16.3554	2.85243	2.58284	0.844365	2.07069	N/A
16.5808	2.89484	2.79813	0.148621	-0.102517	16.282	2.84648	16.3554	2.85243	2.58284	0.844365	N/A	2.69387
19.0217	3.68395	2.43045	0.305186	0.0649003	19.0106	3.70555	18.923	3.74161	2.61382	0.95648	2.39914	N/A
19.0464	3.6943	2.51784	0.308907	0.0669456	19.363	3.87122	18.923	3.74161	2.61382	0.95648	N/A	1.56215
21.335	4.72211	2.52073	0.479527	0.135373	21.3312	4.73205	21.5215	4.73855	2.63679	1.05891	0.3473	N/A
21.3676	4.72623	2.85565	0.470736	0.126576	21.6213	4.74762	21.5215	4.73855	2.63679	1.05891	N/A	1.46789
24.0657	5.59153	2.7799	0.303152	-0.0638209	24.0787	5.56967	24.1437	5.83295	2.65286	1.14953	2.61488	N/A
24.1086	5.61099	3.06544	0.298934	-0.06674	24.5601	5.92334	24.1437	5.83295	2.65286	1.14953	N/A	3.79827
26.6207	6.94089	2.69977	0.506174	0.114669	26.6052	6.96102	26.7833	7.01246	2.6632	1.22647	2.78574	N/A
26.6311	6.94011	3.03004	0.500522	0.105807	26.5419	6.90075	26.7833	7.01246	2.6632	1.22647	N/A	0.812611
29.569	8.10447	3.20162	0.355803	-0.063324	29.5864	8.08789	29.4352	8.26299	2.66893	1.28822	2.21675	N/A
29.5581	8.10358	3.04016	0.35913	-0.0609927	29.4716	8.24519	29.4352	8.26299	2.66893	1.28822	N/A	0.279152
31.9593	9.84946	2.79404	0.68654	0.198454	31.9416	9.88017	32.0955	9.56901	2.67105	1.33358	5.14921	N/A
31.9549	9.8396	2.9795	0.678755	0.188583	31.7928	9.49891	32.0955	9.56901	2.67105	1.33358	N/A	1.2373
34.5866	10.7398	2.44139	0.323377	-0.174931	34.6157	10.6988	34.7608	10.9139	2.67035	1.3617	10.2473	N/A
